nameAndSurname,games,points,rebounds,assists,fieldGoalPercentage,threeFieldGoal,freeThrowPercentage,effectiveFieldGoal,playerEfficiency,winShares
Alaa Abdelnaby,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,13.0,4.8
John Abramovic,56,9.5,-,0.7,23.7,,68.6,,-,-1.9
Zaid Abdul-Aziz,505,9.0,8.0,1.2,42.8,,72.8,,15.1,17.5
Forest Able,1,0.0,1.0,1.0,0.0,,-,,-41.5,0.0
Tariq Abdul-Wahad,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5
Tom Abernethy,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4
Mahmoud Abdul-Rauf,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2
Kareem Abdul-Jabbar,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4
Shareef Abdur-Rahim,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2
Precious Achiuwa,134,7.2,5.1,0.8,46.8,35.7,55.6,50.2,13.1,3.8
Álex Abrines,174,5.3,1.4,0.5,38.7,36.8,88.0,52.5,8.8,5.0
Alex Acker,30,2.7,1.0,0.5,37.0,32.0,50.0,41.3,8.5,-0.2
Don Ackerman,28,1.5,0.5,0.8,22.2,,53.6,,1.0,-0.6
Mark Acres,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3
Bud Acton,23,3.3,2.0,0.5,39.2,,65.5,,9.5,0.1
Quincy Acy,337,4.9,3.5,0.6,44.4,35.0,75.9,51.3,11.2,8.7
George Adams,215,7.7,4.1,1.5,49.7,23.5,79.4,49.9,14.0,6.6
Alvan Adams,988,14.1,7.0,4.1,49.8,13.3,78.8,49.8,18.3,73.5
Don Adams,523,8.8,5.6,1.9,40.2,0.0,74.1,40.2,10.7,11.7
Hassan Adams,73,2.5,1.2,0.2,53.4,0.0,64.3,53.4,11.8,0.8
Chris Babb,14,1.6,1.2,0.2,26.7,22.2,-,36.7,3.7,0.0
Žarko Čabarkapa,150,4.3,2.1,0.6,42.7,27.3,73.3,44.9,11.5,1.1
Serge Ibaka,903,12.1,7.2,0.8,51.3,36.0,75.8,54.8,17.1,72.8
Marc Iavaroni,531,4.4,3.2,1.0,45.9,0.0,71.0,45.9,7.9,8.0
Luke Babbitt,381,4.8,2.2,0.6,40.8,40.2,74.7,53.2,10.1,7.2
Miloš Babić,21,1.8,1.0,0.5,37.5,-,65.0,37.5,10.9,-0.1
Johnny Bach,34,3.5,-,0.7,28.6,,68.0,,-,0.8
Dwayne Bacon,207,7.3,2.6,1.1,40.2,31.4,78.0,44.7,8.9,0.8
Henry Bacon,47,3.5,1.7,0.8,36.6,20.0,60.3,37.2,4.3,-0.1
Jim Baechtold,321,9.7,3.1,2.1,38.8,,78.3,,13.2,14.8
Dalibor Bagarić,95,2.6,2.5,0.4,36.1,0.0,55.9,36.1,7.0,-0.9
Marvin Bagley III,166,13.6,7.4,0.9,50.1,29.1,66.3,52.7,17.1,7.3
John Bagley,665,8.7,2.6,6.0,43.7,24.1,77.9,44.8,13.0,16.6
Carl Bailey,1,2.0,0.0,0.0,100.0,-,-,100.0,-6.8,0.0
Gus Bailey,147,2.6,1.7,1.1,40.6,100.0,51.0,40.8,11.3,0.8
James Bailey,595,8.8,5.0,0.8,48.4,7.7,70.3,48.4,13.0,16.3
Thurl Bailey,928,12.8,5.1,1.4,47.3,11.4,81.2,47.3,14.3,45.0
Toby Bailey,73,3.3,1.7,0.6,40.7,20.0,69.2,41.4,11.0,1.0
Cameron Bairstow,36,1.2,1.0,0.2,29.6,20.0,84.6,30.6,5.0,-0.1
Jimmie Baker,5,1.2,2.8,0.8,20.0,-,0.0,20.0,-3.2,-0.2
Mark Baker,1,0.0,0.0,0.0,0.0,-,-,0.0,-46.6,-0.1
Maurice Baker,5,0.0,0.4,0.2,0.0,-,-,0.0,-0.2,0.0
Norm Baker,4,0.0,-,0.0,0.0,,-,,-,0.0
Rui Hachimura,147,13.0,5.2,1.5,47.7,36.0,77.9,51.7,12.9,5.3
Mike D'Antoni,180,3.4,1.5,2.0,41.4,0.0,73.5,41.4,10.2,2.0
Barney Cable,362,6.6,5.2,1.1,42.0,,66.5,,10.6,6.5
Bruno Caboclo,105,4.2,2.6,0.7,40.3,30.8,83.6,48.0,11.3,1.5
Devontae Cacok,36,2.5,2.2,0.2,62.1,-,50.0,62.1,19.2,0.9
Jason Caffey,462,7.3,4.4,0.9,48.1,0.0,63.7,48.1,12.5,13.5
Gerry Calabrese,104,4.7,1.4,1.4,34.8,,70.2,,9.5,1.9
Michael Cage,1140,7.3,7.6,0.9,51.5,0.0,66.4,51.5,13.9,74.4
Nick Calathes,129,4.6,1.9,2.7,44.1,28.8,58.1,46.8,12.3,2.6
José Calderón,895,8.9,2.4,5.8,47.2,40.7,87.3,54.3,15.8,58.3
Adrian Caldwell,197,2.0,2.5,0.2,48.5,0.0,45.3,48.5,8.7,1.1
Jim Caldwell,137,7.1,7.7,2.0,42.5,13.3,63.1,42.6,13.2,5.7
Joe Caldwell,782,16.1,5.3,3.4,46.6,22.5,57.2,46.7,14.7,37.8
Bill Calhoun,442,7.8,4.0,2.3,34.1,,70.2,,11.2,18.5
Kentavious Caldwell-Pope,683,11.6,3.1,1.7,42.1,36.0,81.3,50.7,11.9,34.6
Corky Calhoun,542,5.3,3.6,1.1,46.0,-,78.2,46.0,9.3,14.4
Demetrius Calip,7,1.6,0.7,1.7,22.2,20.0,66.7,25.0,1.8,-0.2
Tom Callahan,13,1.3,-,0.3,20.7,,41.7,,-,-0.1
Rick Calloway,64,3.2,1.2,1.0,39.1,0.0,69.6,39.1,6.6,-0.3
Ernie Calverley,165,11.9,-,3.5,29.1,,70.7,,-,5.8
Mack Calvin,755,16.1,2.5,4.8,44.7,24.5,86.3,45.1,17.4,60.4
Andre Iguodala,1223,11.4,4.9,4.2,46.3,33.0,70.9,51.2,15.4,100.3
Mile Ilić,5,0.0,0.2,0.0,0.0,-,-,0.0,-48.6,-0.2
Zydrunas Ilgauskas,843,13.0,7.3,1.1,47.6,31.0,78.0,47.8,18.5,66.3
D.J. Mbenga,234,1.8,1.5,0.2,47.0,0.0,60.7,47.0,10.8,2.4
Darrall Imhoff,801,7.2,7.6,1.8,45.8,,59.4,,12.3,30.1
Tom Ingelsby,75,3.2,1.3,1.0,42.4,20.0,77.3,42.6,11.0,0.8
Ersan İlyasova,825,10.1,5.6,1.1,44.3,36.7,77.7,50.6,15.4,48.8
Damien Inglis,20,1.8,1.6,0.5,35.1,23.1,87.5,39.2,6.7,-0.1
Joe Ingles,590,8.6,3.2,3.8,44.9,40.8,76.8,58.3,12.7,37.1
Andre Ingram,6,4.0,1.3,1.2,34.8,41.7,100.0,45.7,10.9,0.1
McCoy Ingram,24,2.8,4.8,0.8,26.2,,46.4,,7.6,-0.7
Brandon Ingram,368,18.5,5.2,3.8,46.1,36.0,76.9,50.7,15.3,18.7
Byron Irvin,87,5.2,1.4,0.8,47.1,35.0,72.2,48.1,16.0,2.1
Ervin Inniger,109,8.8,3.5,1.4,43.0,16.7,74.1,43.4,12.2,5.5
George Irvine,325,9.5,3.0,1.3,51.7,27.4,82.6,52.5,14.0,16.0
Kyrie Irving,611,23.1,3.8,5.7,47.0,39.3,88.2,53.2,22.4,72.0
Jonathan Isaac,136,9.3,5.4,1.1,43.5,33.0,79.7,49.6,13.7,6.7
Ledell Eackles,441,10.8,2.2,1.7,44.5,33.6,76.7,46.1,13.8,10.8
Dan Issel,1218,22.6,9.1,2.4,49.9,20.4,79.3,50.0,21.4,157.8
Bill Gabor,307,9.8,1.8,2.0,34.4,,73.7,,12.9,11.2
Joe Fabel,30,2.1,-,0.1,26.0,,50.0,,-,-0.2
Warren Jabali,447,17.1,6.7,5.3,43.1,31.9,75.6,45.7,16.3,35.1
Rudy Hackett,28,5.5,3.3,1.1,41.1,-,61.9,41.1,10.0,0.4
Hamed Haddadi,151,2.2,2.5,0.3,46.3,0.0,63.2,46.3,13.3,1.6
Jim Hadnot,77,17.5,12.2,1.8,46.7,0.0,66.8,46.7,18.2,6.2
Scott Haffner,50,4.3,1.1,1.8,40.3,13.0,66.7,41.0,8.4,-0.1
Cliff Hagan,839,17.7,6.6,3.2,45.4,0.0,79.9,45.4,19.8,85.3
Glenn Hagan,4,1.8,1.0,2.0,42.9,-,100.0,42.9,18.1,0.1
Tom Hagan,73,4.9,1.5,1.8,41.9,32.8,70.7,44.8,10.8,1.1
Ashton Hagans,2,0.0,0.0,0.0,-,-,-,-,-12.4,0.0
Robert Hahn,10,1.0,-,0.1,30.8,,28.6,,-,0.1
Al Hairston,42,2.2,1.0,1.0,33.6,,60.0,,7.2,-0.5
Happy Hairston,776,14.8,10.3,1.6,47.8,,74.1,,16.5,70.0
Lindsay Hairston,47,5.8,3.8,0.4,45.6,,58.0,,14.8,1.0
Malik Hairston,62,2.4,1.2,0.5,51.2,16.7,51.4,52.0,11.7,0.8
P.J. Hairston,111,6.0,2.4,0.5,34.3,29.5,81.0,43.1,7.6,0.9
Marcus Haislip,89,3.5,1.5,0.2,43.7,35.0,65.9,44.9,10.8,0.5
Chick Halbert,303,8.8,7.9,1.4,31.4,,63.3,,-,21.6
Swede Halbrook,143,5.5,6.6,0.4,34.7,,59.1,,10.1,0.3
Mike Dabich,10,2.0,1.3,0.2,66.7,-,44.4,66.7,12.0,0.2
Ed Dahler,14,2.5,1.6,0.4,36.8,,100.0,,10.4,0.1
Quintin Dailey,528,14.1,2.5,2.3,45.4,15.8,77.9,45.6,15.1,12.7
Howie Dallmar,146,9.6,-,2.3,28.3,,69.8,,-,15.1
Samuel Dalembert,886,7.7,7.8,0.5,52.1,8.3,70.6,52.1,15.4,51.3
Erick Dampier,987,7.4,7.1,0.8,49.8,12.5,62.6,49.8,14.3,52.7
Bob Dandridge,839,18.5,6.8,3.4,48.4,16.7,78.0,48.4,16.7,80.3
Louie Dampier,960,15.9,2.6,4.9,44.4,35.8,82.0,47.4,15.2,74.1
Antonio Daniels,872,7.6,1.8,3.4,44.4,31.1,79.3,47.9,14.6,47.0
Erik Daniels,21,0.6,0.9,0.2,33.3,50.0,-,36.1,4.6,-0.1
Lloyd Daniels,200,7.1,2.2,1.6,40.3,31.6,74.3,45.8,11.5,3.3
Marquis Daniels,548,7.9,2.8,1.8,45.1,23.5,72.1,46.4,12.9,16.5
Mel Daniels,639,18.4,14.9,1.8,46.8,8.8,65.7,46.8,20.1,64.8
Troy Daniels,339,6.6,1.3,0.5,40.1,39.5,79.9,54.6,10.4,5.1
Sasha Danilović,75,12.8,2.4,2.0,43.9,37.9,78.9,51.8,11.7,4.2
Pete Darcey,12,0.9,0.8,0.2,16.7,,55.6,,-5.7,-0.2
Adrian Dantley,955,24.3,5.7,3.0,54.0,17.1,81.8,54.0,21.5,134.2
Jimmy Darden,26,8.1,-,2.6,32.1,,68.8,,-,-0.2
Mfiondu Kabengele,51,2.7,1.4,0.4,38.8,31.4,84.0,47.9,11.2,0.4
Jim Eakins,767,10.8,7.3,1.8,50.4,0.0,78.8,50.4,16.5,57.5
Ed Earle,2,2.0,1.0,0.0,50.0,,50.0,,15.2,0.0
Acie Earl,193,5.1,2.7,0.3,40.3,0.0,66.7,40.3,10.6,0.3
Penny Early,1,0.0,0.0,0.0,-,-,-,-,-,0.0
Cleanthony Early,56,4.3,2.2,0.8,34.6,26.3,75.0,39.8,7.2,-0.6
Jerry Eaves,168,6.7,1.2,2.5,47.2,7.1,77.3,47.2,11.8,2.6
Devin Ebanks,63,3.6,1.9,0.4,38.5,22.2,72.2,40.4,9.6,0.5
Mark Eaton,875,6.0,7.9,1.0,45.8,0.0,64.9,45.8,10.9,44.8
Bill Ebben,8,1.9,1.0,0.5,21.4,,75.0,,1.1,-0.2
Al Eberhard,220,6.8,3.5,0.8,43.3,,79.7,,11.2,5.3
Ndudi Ebi,19,2.1,1.0,0.2,48.6,0.0,46.2,48.6,14.6,0.1
Roy Ebron,40,6.2,4.4,0.5,48.8,0.0,51.2,48.8,18.7,1.3
Jaime Echenique,1,0.0,0.0,0.0,-,-,-,-,0.0,0.0
Jarell Eddie,34,2.6,0.9,0.1,30.2,29.2,94.1,41.3,10.1,0.2
Patrick Eddie,4,1.0,0.3,0.0,22.2,-,-,22.2,-8.8,-0.1
Dike Eddleman,267,12.1,4.5,2.1,35.2,,63.0,,11.0,7.3
Kenton Edelin,10,1.1,2.6,1.0,30.8,-,37.5,30.8,3.3,0.1
Charles Edge,155,7.7,6.3,0.7,50.2,0.0,63.2,50.2,16.3,6.5
Dan Gadzuric,527,4.7,4.4,0.4,50.0,0.0,49.8,50.0,14.4,15.8
Wenyen Gabriel,77,3.6,2.6,0.4,45.4,33.8,63.0,51.6,10.9,1.2
Daniel Gafford,169,7.6,4.4,0.7,69.2,0.0,65.7,69.2,20.7,11.3
Deng Gai,2,0.0,0.0,0.0,-,-,-,-,0.0,0.0
Elmer Gainer,20,1.5,-,0.5,22.7,,64.3,,-,-0.3
Bill Gaines,1,2.0,1.0,0.0,50.0,-,-,50.0,7.6,0.0
Corey Gaines,80,3.1,0.9,3.1,42.4,22.9,73.6,44.9,10.8,1.1
Reece Gaines,71,1.7,0.7,0.7,32.4,26.9,60.6,34.8,5.3,-0.6
Smokey Gaines,3,3.3,3.3,0.0,25.0,100.0,50.0,28.1,4.8,-0.1
Sundiata Gaines,113,4.5,1.5,1.8,39.7,30.1,56.2,44.5,14.5,1.4
Chad Gallagher,2,3.0,0.0,0.0,100.0,-,-,100.0,66.8,0.1
Mike Gale,842,7.4,2.9,3.7,46.4,18.7,78.1,46.6,12.4,34.6
Harry Gallatin,682,13.0,11.9,1.8,39.8,,77.3,,21.6,78.4
Gene Gallette,14,0.6,-,0.1,9.1,,66.7,,-,0.2
Langston Galloway,452,8.1,2.4,1.6,39.7,36.8,81.6,49.4,11.4,14.4
Danilo Gallinari,728,15.6,4.8,1.9,42.8,38.2,87.7,51.6,16.9,64.1
Dave Gambee,750,10.6,5.2,1.0,42.0,,82.2,,15.2,35.9
John Fairchild,165,6.6,3.2,0.7,40.4,36.8,68.1,41.0,11.9,1.8
Tacko Fall,37,2.2,2.4,0.2,67.3,-,32.0,67.3,18.8,0.7
Phil Farbman,48,3.2,-,0.8,30.7,,67.9,,-,1.4
